Date,Region,New Cases,Total Cases,Active Cases,Inpatient Hospitalizations,ICU Hospitalizations,Recovered Cases,Deaths
2020-08-04,Far North West,0,346,4,0,0,335,7
2020-08-04,Far North Central,0,0,0,0,0,0,0
2020-08-04,Far North East,0,6,0,0,0,6,0
2020-08-04,North West,0,96,1,0,0,70,4
2020-08-04,North Central,1,63,6,0,0,55,1
2020-08-04,North East,0,62,1,0,0,31,0
2020-08-04,Saskatoon,2,216,24,3,5,190,2
2020-08-04,Central West,0,158,46,0,0,83,0
2020-08-04,Central East,0,28,1,0,0,24,1
2020-08-04,Regina,4,99,13,1,2,83,1
2020-08-04,South West,1,149,30,3,0,113,0
2020-08-04,South Central,0,134,30,0,0,99,2
2020-08-04,South East,0,11,0,0,0,6,0
2020-08-05,Far North West,0,346,4,0,0,335,7
2020-08-05,Far North Central,0,0,0,0,0,0,0
2020-08-05,Far North East,0,6,0,0,0,6,0
2020-08-05,North West,0,98,1,0,0,79,4
2020-08-05,North Central,0,63,4,0,1,57,1
2020-08-05,North East,0,65,1,0,0,34,0
2020-08-05,Saskatoon,2,217,19,3,5,196,2
2020-08-05,Central West,1,159,44,0,0,86,0
2020-08-05,Central East,0,28,1,1,0,24,1
2020-08-05,Regina,2,100,15,1,2,84,1
2020-08-05,South West,0,149,26,2,0,119,0
2020-08-05,South Central,0,134,24,0,0,105,2
2020-08-05,South East,0,11,0,0,0,8,0
2020-08-06,Far North West,0,346,2,0,0,337,7
2020-08-06,Far North Central,0,0,0,0,0,0,0
2020-08-06,Far North East,0,6,0,0,0,6,0
2020-08-06,North West,0,98,1,0,0,81,4
2020-08-06,North Central,0,63,4,0,1,58,1
2020-08-06,North East,0,65,1,0,0,34,0
2020-08-06,Saskatoon,1,218,17,3,4,199,2
2020-08-06,Central West,0,159,40,0,0,95,0
2020-08-06,Central East,0,28,1,1,0,24,1
2020-08-06,Regina,0,100,13,1,1,85,2
2020-08-06,South West,1,150,24,2,0,123,0
2020-08-06,South Central,9,143,25,0,0,114,2
2020-08-06,South East,0,11,0,0,0,8,0
2020-08-07,Far North West,0,346,1,0,0,338,7
2020-08-07,Far North Central,0,0,0,0,0,0,0
2020-08-07,Far North East,0,6,0,0,0,6,0
2020-08-07,North West,0,99,1,0,0,85,4
2020-08-07,North Central,0,63,4,0,1,58,1
2020-08-07,North East,0,65,1,0,0,48,0
2020-08-07,Saskatoon,3,221,13,4,3,206,2
2020-08-07,Central West,0,159,29,0,0,109,0
2020-08-07,Central East,0,30,1,1,0,24,1
2020-08-07,Regina,2,102,14,1,0,86,2
2020-08-07,South West,2,153,20,2,0,129,1
2020-08-07,South Central,12,154,27,1,0,124,2
2020-08-07,South East,0,11,0,0,0,8,0
2020-08-08,Far North West,0,346,1,0,0,338,7
2020-08-08,Far North Central,0,0,0,0,0,0,0
2020-08-08,Far North East,0,6,0,0,0,6,0
2020-08-08,North West,0,99,1,0,0,87,4
2020-08-08,North Central,3,66,4,0,1,61,1
2020-08-08,North East,0,65,1,0,0,52,0
2020-08-08,Saskatoon,11,224,13,3,4,209,2
2020-08-08,Central West,0,159,24,0,0,114,0
2020-08-08,Central East,0,30,0,0,0,26,1
2020-08-08,Regina,3,113,25,1,0,86,2
2020-08-08,South West,1,154,21,3,0,129,1
2020-08-08,South Central,4,159,26,1,0,129,2
2020-08-08,South East,0,11,0,0,0,8,0
2020-08-09,Far North West,0,346,1,0,0,338,7
2020-08-09,Far North Central,0,0,0,0,0,0,0
2020-08-09,Far North East,0,6,0,0,0,6,0
2020-08-09,North West,0,100,1,0,0,87,4
2020-08-09,North Central,0,66,4,0,0,61,1
2020-08-09,North East,0,65,1,0,0,52,0
2020-08-09,Saskatoon,1,224,12,3,3,210,2
2020-08-09,Central West,0,160,22,0,0,118,0
2020-08-09,Central East,0,30,0,0,0,26,1
2020-08-09,Regina,5,118,29,1,1,87,2
2020-08-09,South West,1,156,18,2,2,132,1
2020-08-09,South Central,3,162,27,1,1,131,2
2020-08-09,South East,0,11,0,0,0,9,0
2020-08-10,Far North West,0,346,1,0,0,338,7
2020-08-10,Far North Central,0,0,0,0,0,0,0
2020-08-10,Far North East,0,6,0,0,0,6,0
2020-08-10,North West,0,100,1,0,0,88,4
2020-08-10,North Central,0,66,4,0,1,61,1
2020-08-10,North East,0,65,1,0,0,52,0
2020-08-10,Saskatoon,1,225,13,3,3,210,2
2020-08-10,Central West,0,160,21,0,0,120,0
2020-08-10,Central East,0,30,0,0,0,26,1
2020-08-10,Regina,3,121,30,1,0,89,2
2020-08-10,South West,0,156,18,3,1,132,1
2020-08-10,South Central,1,163,25,1,0,134,2
2020-08-10,South East,0,11,0,0,0,9,0
2020-08-11,Far North West,0,346,1,0,0,338,7
2020-08-11,Far North Central,0,0,0,0,0,0,0
2020-08-11,Far North East,0,6,0,0,0,6,0
2020-08-11,North West,0,101,1,0,0,90,4
2020-08-11,North Central,0,66,4,0,1,61,1
2020-08-11,North East,0,65,0,0,0,58,0
2020-08-11,Saskatoon,17,242,29,3,3,211,2
2020-08-11,Central West,0,160,13,0,0,131,0
2020-08-11,Central East,0,30,0,0,0,26,1
2020-08-11,Regina,4,125,34,1,0,89,2
2020-08-11,South West,2,160,15,1,1,137,1
2020-08-11,South Central,3,166,25,1,0,137,2
2020-08-11,South East,0,11,0,0,0,10,0
2020-08-12,Far North West,0,346,1,0,0,338,7
2020-08-12,Far North Central,0,0,0,0,0,0,0
2020-08-12,Far North East,0,6,0,0,0,6,0
2020-08-12,North West,0,101,1,0,0,91,4
2020-08-12,North Central,0,67,4,0,1,61,1
2020-08-12,North East,0,65,0,0,0,61,0
2020-08-12,Saskatoon,0,242,28,3,3,212,2
2020-08-12,Central West,0,160,10,0,0,144,0
2020-08-12,Central East,0,30,0,0,0,26,1
2020-08-12,Regina,4,129,38,1,0,89,2
2020-08-12,South West,0,160,13,0,1,139,1
2020-08-12,South Central,0,166,25,1,0,137,2
2020-08-12,South East,0,11,0,0,0,10,0
2020-08-13,Far North West,0,346,0,0,0,339,7
2020-08-13,Far North Central,0,0,0,0,0,0,0
2020-08-13,Far North East,0,6,0,0,0,6,0
2020-08-13,North West,0,101,1,0,0,91,4
2020-08-13,North Central,0,67,3,1,1,62,1
2020-08-13,North East,0,65,0,0,0,61,0
2020-08-13,Saskatoon,3,245,29,3,3,214,2
2020-08-13,Central West,0,160,10,0,0,146,0
2020-08-13,Central East,0,30,0,0,0,26,1
2020-08-13,Regina,2,131,40,1,0,89,2
2020-08-13,South West,0,178,11,0,1,141,1
2020-08-13,South Central,4,170,28,1,0,139,2
2020-08-13,South East,0,11,0,0,0,11,0
2020-08-14,Far North West,0,346,0,0,0,339,7
2020-08-14,Far North Central,0,0,0,0,0,0,0
2020-08-14,Far North East,0,6,0,0,0,6,0
2020-08-14,North West,0,101,0,0,0,92,4
2020-08-14,North Central,1,68,2,1,1,64,1
2020-08-14,North East,0,65,0,0,0,64,0
2020-08-14,Saskatoon,0,245,26,3,3,217,2
2020-08-14,Central West,0,160,9,0,0,148,0
2020-08-14,Central East,0,30,0,0,0,26,1
2020-08-14,Regina,0,131,40,1,0,89,2
2020-08-14,South West,1,201,12,0,1,146,1
2020-08-14,South Central,6,176,29,0,0,145,2
2020-08-14,South East,0,11,0,0,0,11,0
2020-08-15,Far North West,0,346,0,0,0,339,7
2020-08-15,Far North Central,0,0,0,0,0,0,0
2020-08-15,Far North East,0,6,0,0,0,6,0
2020-08-15,North West,0,118,0,0,0,92,4
2020-08-15,North Central,0,68,1,0,1,65,1
2020-08-15,North East,0,65,0,0,0,65,0
2020-08-15,Saskatoon,2,247,27,2,3,218,2
2020-08-15,Central West,0,160,7,0,0,150,0
2020-08-15,Central East,0,30,0,0,0,26,1
2020-08-15,Regina,0,131,39,1,0,90,2
2020-08-15,South West,0,201,12,0,1,148,1
2020-08-15,South Central,0,182,28,0,0,146,3
2020-08-15,South East,0,11,0,0,0,11,0
2020-08-16,Far North West,0,346,0,0,0,339,7
2020-08-16,Far North Central,0,0,0,0,0,0,0
2020-08-16,Far North East,0,6,0,0,0,6,0
2020-08-16,North West,1,119,1,0,0,92,4
2020-08-16,North Central,0,68,0,0,0,65,2
2020-08-16,North East,0,65,0,0,0,65,0
2020-08-16,Saskatoon,0,247,24,1,4,221,2
2020-08-16,Central West,0,161,5,0,0,152,0
2020-08-16,Central East,3,33,3,0,0,26,1
2020-08-16,Regina,0,131,39,1,0,90,2
2020-08-16,South West,4,206,15,2,0,150,1
2020-08-16,South Central,2,187,29,0,0,148,3
2020-08-16,South East,0,11,0,0,0,11,0
2020-08-17,Far North West,0,346,0,0,0,339,7
2020-08-17,Far North Central,0,0,0,0,0,0,0
2020-08-17,Far North East,0,6,0,0,0,6,0
2020-08-17,North West,0,119,1,0,0,92,4
2020-08-17,North Central,0,68,0,0,0,65,2
2020-08-17,North East,0,65,0,0,0,65,0
2020-08-17,Saskatoon,0,247,23,1,4,222,2
2020-08-17,Central West,0,161,5,0,0,154,0
2020-08-17,Central East,0,33,1,0,0,28,1
2020-08-17,Regina,0,131,33,1,0,96,2
2020-08-17,South West,0,207,14,2,0,157,1
2020-08-17,South Central,0,187,25,0,0,152,3
2020-08-17,South East,0,11,0,0,0,11,0
2020-08-18,Far North West,0,346,0,0,0,339,7
2020-08-18,Far North East,0,6,0,0,0,6,0
2020-08-18,North West,0,119,1,0,0,92,4
2020-08-18,North Central,0,68,0,0,0,65,2
2020-08-18,North East,0,65,0,0,0,65,0
2020-08-18,Saskatoon,1,248,22,1,4,224,2
2020-08-18,Central West,0,161,5,0,0,154,0
2020-08-18,Central East,0,33,1,0,0,28,1
2020-08-18,Regina,0,131,25,1,0,104,2
2020-08-18,South West,0,207,14,2,0,160,1
2020-08-18,South Central,0,187,22,0,0,155,3
2020-08-18,South East,0,11,0,0,0,11,0
2020-08-19,Far North West,0,346,0,0,0,339,7
2020-08-19,Far North East,0,6,0,0,0,6,0
2020-08-19,North West,1,121,2,0,0,92,4
2020-08-19,North Central,0,68,0,0,0,65,2
2020-08-19,North East,0,65,0,0,0,65,0
2020-08-19,Saskatoon,0,248,18,1,4,228,2
2020-08-19,Central West,0,161,5,0,0,154,0
2020-08-19,Central East,0,33,1,0,0,28,1
2020-08-19,Regina,0,131,25,2,0,104,2
2020-08-19,South West,2,209,15,0,0,162,1
2020-08-19,South Central,0,187,21,0,0,156,3
2020-08-19,South East,0,11,0,0,0,11,0
2020-08-20,Far North West,0,346,0,0,0,339,7
2020-08-20,Far North East,0,6,0,0,0,6,0
2020-08-20,North West,1,121,2,0,0,92,4
2020-08-20,North Central,0,68,0,0,0,65,2
2020-08-20,North East,0,65,0,0,0,65,0
2020-08-20,Saskatoon,1,249,19,1,4,228,2
2020-08-20,Central West,0,161,5,0,0,154,0
2020-08-20,Central East,0,33,1,0,0,31,1
2020-08-20,Regina,0,131,21,0,0,108,2
2020-08-20,South West,0,209,15,0,0,162,1
2020-08-20,South Central,0,190,19,0,0,158,3
2020-08-20,South East,0,11,0,0,0,11,0
2020-08-21,Far North West,0,346,0,0,0,339,7
2020-08-21,Far North Central,0,0,0,0,0,NA,0
2020-08-21,Far North East,0,6,0,0,0,6,0
2020-08-21,North West,2,123,4,0,0,94,4
2020-08-21,North Central,0,68,0,0,0,65,2
2020-08-21,North East,0,66,0,0,0,65,0
2020-08-21,Saskatoon,1,250,15,1,4,233,2
2020-08-21,Central West,0,161,3,0,0,156,0
2020-08-21,Central East,0,33,1,0,0,31,1
2020-08-21,Regina,0,131,20,0,0,109,2
2020-08-21,South West,1,211,13,0,0,169,1
2020-08-21,South Central,0,189,16,0,0,161,3
2020-08-21,South East,0,11,0,0,0,11,0
2020-08-22,Far North West,0,346,0,0,0,339,7
2020-08-22,Far North Central,0,0,0,0,0,NA,0
2020-08-22,Far North East,0,6,0,0,0,6,0
2020-08-22,North West,0,123,3,0,0,94,4
2020-08-22,North Central,0,68,0,0,0,65,2
2020-08-22,North East,0,66,0,0,0,65,0
2020-08-22,Saskatoon,1,251,12,1,4,237,2
2020-08-22,Central West,0,161,3,0,0,157,0
2020-08-22,Central East,0,33,1,0,0,31,1
2020-08-22,Regina,0,131,14,0,0,115,2
2020-08-22,South West,1,212,13,0,0,175,1
2020-08-22,South Central,0,189,15,0,0,162,3
2020-08-22,South East,0,11,0,0,0,11,0
2020-08-23,Far North West,0,346,0,0,0,339,7
2020-08-23,Far North Central,0,0,0,0,0,0,0
2020-08-23,Far North East,0,6,0,0,0,6,0
2020-08-23,North West,0,123,3,0,0,95,4
2020-08-23,North Central,0,69,0,0,0,65,2
2020-08-23,North East,0,66,0,0,0,65,0
2020-08-23,Saskatoon,0,251,6,1,4,243,2
2020-08-23,Central West,0,161,3,0,0,157,0
2020-08-23,Central East,0,33,1,0,0,31,1
2020-08-23,Regina,1,132,14,0,0,116,2
2020-08-23,South West,0,213,11,0,0,179,1
2020-08-23,South Central,0,189,12,0,0,165,3
2020-08-23,South East,0,11,0,0,0,11,0
2020-08-24,Far North West,0,346,0,0,0,339,7
2020-08-24,Far North Central,0,0,0,0,0,0,0
2020-08-24,Far North East,0,6,0,0,0,6,0
2020-08-24,North West,0,126,3,0,0,96,4
2020-08-24,North Central,0,68,0,0,0,66,2
2020-08-24,North East,0,66,0,0,0,65,0
2020-08-24,Saskatoon,0,251,5,1,4,244,2
2020-08-24,Central West,0,161,1,0,0,159,0
2020-08-24,Central East,0,33,1,0,0,31,1
2020-08-24,Regina,0,132,14,0,0,116,2
2020-08-24,South West,0,213,11,0,0,181,1
2020-08-24,South Central,0,189,9,0,0,168,3
2020-08-24,South East,0,11,0,0,0,11,0
2020-08-25,Far North West,0,346,0,0,0,339,7
2020-08-25,Far North Central,0,0,0,0,0,0,0
2020-08-25,Far North East,0,6,0,0,0,6,0
2020-08-25,North West,0,125,3,0,0,96,4
2020-08-25,North Central,0,68,0,0,0,66,2
2020-08-25,North East,0,66,0,0,0,65,0
2020-08-25,Saskatoon,0,251,4,1,3,245,2
2020-08-25,Central West,0,161,1,0,0,159,1
2020-08-25,Central East,0,33,1,0,0,31,1
2020-08-25,Regina,0,132,10,0,0,120,2
2020-08-25,South West,0,213,10,0,0,184,1
2020-08-25,South Central,0,189,9,0,0,168,3
2020-08-25,South East,0,11,0,0,0,11,0
2020-08-26,Far North West,0,346,0,0,0,339,7
2020-08-26,Far North Central,0,0,0,0,0,0,0
2020-08-26,Far North East,0,6,0,0,0,6,0
2020-08-26,North West,0,125,2,0,0,112,4
2020-08-26,North Central,0,68,0,0,0,66,2
2020-08-26,North East,0,66,0,0,0,65,0
2020-08-26,Saskatoon,3,254,7,1,2,245,2
2020-08-26,Central West,0,161,1,0,0,159,1
2020-08-26,Central East,0,33,1,0,0,31,1
2020-08-26,Regina,0,132,5,0,0,125,2
2020-08-26,South West,0,213,9,0,0,191,1
2020-08-26,South Central,0,189,6,0,0,170,4
2020-08-26,South East,0,11,0,0,0,11,0
2020-08-27,Far North West,0,346,0,0,0,339,7
2020-08-27,Far North Central,0,0,0,0,0,0,0
2020-08-27,Far North East,0,6,0,0,0,6,0
2020-08-27,North West,0,128,2,0,0,112,4
2020-08-27,North Central,0,68,0,0,0,66,2
2020-08-27,North East,0,66,0,0,0,65,0
2020-08-27,Saskatoon,2,256,9,1,2,245,2
2020-08-27,Central West,0,161,1,0,0,159,1
2020-08-27,Central East,0,33,1,0,0,31,1
2020-08-27,Regina,0,132,5,0,0,125,2
2020-08-27,South West,0,213,9,0,0,196,1
2020-08-27,South Central,0,189,6,0,0,172,4
2020-08-27,South East,0,11,0,0,0,11,0
2020-08-28,Far North West,1,347,1,0,0,339,7
2020-08-28,Far North Central,0,0,0,0,0,0,0
2020-08-28,Far North East,0,6,0,0,0,6,0
2020-08-28,North West,0,128,1,0,0,116,4
2020-08-28,North Central,0,68,0,0,0,66,2
2020-08-28,North East,0,66,0,0,0,65,0
2020-08-28,Saskatoon,1,257,8,1,2,247,2
2020-08-28,Central West,0,161,1,0,0,159,1
2020-08-28,Central East,0,33,1,0,0,32,1
2020-08-28,Regina,0,132,0,0,0,129,2
2020-08-28,South West,0,213,6,0,0,199,1
2020-08-28,South Central,0,189,6,0,0,174,4
2020-08-28,South East,0,11,0,0,0,11,0
2020-08-29,Far North West,0,347,1,0,0,339,7
2020-08-29,Far North Central,0,0,0,0,0,0,0
2020-08-29,Far North East,0,6,0,0,0,6,0
2020-08-29,North West,0,128,1,0,0,116,4
2020-08-29,North Central,0,68,0,0,0,66,2
2020-08-29,North East,0,66,0,0,0,65,0
2020-08-29,Saskatoon,2,259,10,1,2,247,2
2020-08-29,Central West,0,161,1,0,0,159,1
2020-08-29,Central East,0,33,1,0,0,32,1
2020-08-29,Regina,0,132,1,0,0,129,2
2020-08-29,South West,0,215,4,0,0,201,1
2020-08-29,South Central,0,189,5,0,0,177,4
2020-08-29,South East,0,11,0,0,0,11,0
2020-08-30,Far North West,0,347,1,0,0,339,7
2020-08-30,Far North Central,0,0,0,0,0,0,0
2020-08-30,Far North East,0,6,0,0,0,6,0
2020-08-30,North West,0,128,1,0,0,116,4
2020-08-30,North Central,0,68,0,0,0,66,2
2020-08-30,North East,0,66,0,0,0,65,0
2020-08-30,Saskatoon,0,259,10,1,2,247,2
2020-08-30,Central West,0,161,1,0,0,159,1
2020-08-30,Central East,0,33,1,0,0,32,1
2020-08-30,Regina,0,132,1,0,0,129,2
2020-08-30,South West,0,215,4,0,0,202,1
2020-08-30,South Central,0,189,5,0,0,177,4
2020-08-30,South East,0,11,0,0,0,11,0
2020-08-31,Far North West,0,347,1,0,0,339,7
2020-08-31,Far North Central,0,0,0,0,0,0,0
2020-08-31,Far North East,0,6,0,0,0,6,0
2020-08-31,North West,0,128,1,0,0,116,4
2020-08-31,North Central,0,68,0,0,0,66,2
2020-08-31,North East,0,66,0,0,0,65,0
2020-08-31,Saskatoon,1,260,11,1,2,247,2
2020-08-31,Central West,0,161,1,0,0,159,1
2020-08-31,Central East,0,34,0,0,0,32,1
2020-08-31,Regina,0,132,1,0,0,129,2
2020-08-31,South West,1,216,1,0,0,211,1
2020-08-31,South Central,0,190,2,0,0,180,4
2020-08-31,South East,0,11,0,0,0,11,0
2020-09-01,Far North West,0,347,1,0,0,339,7
2020-09-01,Far North Central,0,0,0,0,0,0,0
2020-09-01,Far North East,0,6,0,0,0,6,0
2020-09-01,North West,0,128,0,0,0,119,4
2020-09-01,North Central,0,69,0,0,0,66,2
2020-09-01,North East,0,66,0,0,0,65,0
2020-09-01,Saskatoon,1,261,12,1,2,247,2
2020-09-01,Central West,0,161,1,0,0,159,1
2020-09-01,Central East,0,34,0,0,0,32,1
2020-09-01,Regina,0,132,1,0,0,129,2
2020-09-01,South West,0,216,1,0,0,211,1
2020-09-01,South Central,0,190,2,0,0,183,4
2020-09-01,South East,0,11,0,0,0,11,0
2020-09-02,Far North West,0,347,1,0,0,339,7
2020-09-02,Far North Central,0,0,0,0,0,0,0
2020-09-02,Far North East,0,6,0,0,0,6,0
2020-09-02,North West,0,130,0,0,0,119,4
2020-09-02,North Central,0,69,0,0,0,66,2
2020-09-02,North East,0,66,0,0,0,66,0
2020-09-02,Saskatoon,0,261,11,1,1,248,2
2020-09-02,Central West,0,161,1,0,0,159,1
2020-09-02,Central East,0,34,0,0,0,32,1
2020-09-02,Regina,0,132,0,0,0,130,2
2020-09-02,South West,0,216,1,0,0,211,1
2020-09-02,South Central,1,191,2,0,0,184,4
2020-09-02,South East,0,11,0,0,0,11,0
2020-09-03,Far North West,0,347,1,0,0,339,7
2020-09-03,Far North Central,0,0,0,0,0,0,0
2020-09-03,Far North East,0,6,0,0,0,6,0
2020-09-03,North West,0,130,0,0,0,121,4
2020-09-03,North Central,0,70,0,0,0,66,2
2020-09-03,North East,0,66,0,0,0,66,0
2020-09-03,Saskatoon,6,267,17,1,1,248,2
2020-09-03,Central West,1,163,1,0,0,160,1
2020-09-03,Central East,0,34,0,0,0,32,1
2020-09-03,Regina,0,132,0,0,0,130,2
2020-09-03,South West,0,216,1,0,0,211,1
2020-09-03,South Central,1,192,3,0,0,184,4
2020-09-03,South East,0,11,0,0,0,11,0
2020-09-04,Far North West,0,347,1,0,0,339,7
2020-09-04,Far North Central,0,0,0,0,0,0,0
2020-09-04,Far North East,0,6,0,0,0,6,0
2020-09-04,North West,0,130,0,0,0,122,4
2020-09-04,North Central,0,71,0,0,0,66,2
2020-09-04,North East,0,66,0,0,0,66,0
2020-09-04,Saskatoon,0,267,14,2,1,251,2
2020-09-04,Central West,1,164,2,0,0,160,1
2020-09-04,Central East,0,34,0,0,0,32,1
2020-09-04,Regina,0,132,0,0,0,130,2
2020-09-04,South West,0,217,1,0,0,211,1
2020-09-04,South Central,1,193,4,0,0,184,4
2020-09-04,South East,0,11,0,0,0,11,0
2020-09-05,Far North West,0,347,1,0,0,339,7
2020-09-05,Far North Central,0,0,0,0,0,0,0
2020-09-05,Far North East,0,6,0,0,0,6,0
2020-09-05,North West,0,130,0,0,0,122,4
2020-09-05,North Central,0,71,0,0,0,66,2
2020-09-05,North East,0,66,0,0,0,66,0
2020-09-05,Saskatoon,3,270,16,1,1,252,2
2020-09-05,Central West,0,164,2,0,0,160,1
2020-09-05,Central East,0,34,0,0,0,32,1
2020-09-05,Regina,0,132,0,0,0,130,2
2020-09-05,South West,0,217,1,0,0,211,1
2020-09-05,South Central,1,195,5,0,0,184,4
2020-09-05,South East,0,11,0,0,0,11,0
2020-09-06,Far North West,0,347,1,0,0,339,7
2020-09-06,Far North Central,0,0,0,0,0,0,0
2020-09-06,Far North East,0,6,0,0,0,6,0
2020-09-06,North West,0,131,0,0,0,122,4
2020-09-06,North Central,0,71,0,0,0,66,2
2020-09-06,North East,0,66,0,0,0,66,0
2020-09-06,Saskatoon,3,273,19,0,1,252,2
2020-09-06,Central West,0,164,2,0,0,160,1
2020-09-06,Central East,0,36,0,0,0,32,1
2020-09-06,Regina,1,133,1,0,0,130,2
2020-09-06,South West,0,217,1,0,0,211,1
2020-09-06,South Central,0,195,5,0,0,184,4
2020-09-06,South East,0,12,0,0,0,11,0
2020-09-07,Far North West,0,349,1,0,0,339,7
2020-09-07,Far North Central,0,0,0,0,0,0,0
2020-09-07,Far North East,0,6,0,0,0,6,0
2020-09-07,North West,0,131,0,0,0,122,4
2020-09-07,North Central,0,71,0,0,0,66,2
2020-09-07,North East,0,66,0,0,0,66,0
2020-09-07,Saskatoon,2,275,21,0,1,252,2
2020-09-07,Central West,0,166,2,0,0,160,1
2020-09-07,Central East,0,37,0,0,0,32,1
2020-09-07,Regina,0,133,1,0,0,130,2
2020-09-07,South West,1,218,2,0,0,212,1
2020-09-07,South Central,0,196,5,0,0,184,4
2020-09-07,South East,0,13,0,0,0,11,0
2020-09-08,Far North West,0,349,1,0,0,339,7
2020-09-08,Far North Central,0,0,0,0,0,0,0
2020-09-08,Far North East,0,6,0,0,0,6,0
2020-09-08,North West,0,131,0,0,0,122,4
2020-09-08,North Central,0,73,0,0,0,66,2
2020-09-08,North East,0,66,0,0,0,66,0
2020-09-08,Saskatoon,1,276,15,0,1,259,2
2020-09-08,Central West,0,166,2,0,0,160,1
2020-09-08,Central East,0,37,0,0,0,32,1
