Location,Name,Zone,DeclarationDate,Information
Stanley Mission,Stanley Mission Health Centre,Far North East,"October 9, 2020",Health Care Facility
Cumberland House,Charlebois Community School,North East,"October 20, 2020",School
Kinistino,Ag Authority,North East,"November 2, 2020",Workplace
Lloydminster,St. Joseph's School,North West,"November 8, 2020",School
Lloydminster,E.S. Laird Middle School,North West,"October 27, 2020",School
Lloydminster,Original Joe's,North West,"October 25, 2020",Restaurant
North Battleford,River Heights Lodge,North West,"November 12, 2020",Care home
North Battleford,Caleb Village,North West,"November 11, 2020",Seniors residence
Parkside,Emmanuel Lutheran Church,North Central,"October 31, 2020",Place of Worship
Shellbrook,W.P. Sandin Public High School,North Central,"October 30, 2020",School
Prince Albert,Purolator,North Central,"November 12, 2020",Workplace
Prince Albert,Hope's Home,North Central,"November 3, 2020",Day care
Prince Albert,Ecole St. Mary High School,North Central,"October 24, 2020",School
Prince Albert,Prince Albert Police Service,North Central,"October 18, 2020",Workplace
Prince Albert,Lakeland Ford,North Central,"October 16, 2020",Workplace
Prince Albert,Co-operative Health Centre,North Central,"October 12, 2020",Workplace
Prince Albert,Full Gospel Outreach,North Central,"October 6, 2020",Place of Worship
Esterhazy,The Mosaic Company - Esterhazy K2,Central East,"October 24, 2020",Workplace
Gerald,Bridgeview Manufacturing,Central East,"October 20, 2020",Workplace
Yorkton,Yorkton and District Nursing Home,Central East,"November 11, 2020",Long-term care home
Yorkton,Sign Early Learning Centre,Central East,"November 2, 2020",Child Care Facility
Yorkton,Burger King,Central East,"October 28, 2020",Fast Food Restaurant
Yorkton,Boys & Girls Club,Central East,"October 25, 2020",Workplace
Yorkton,Pumphouse Athletic Club (PAC),Central East,"September 27, 2020",Gym
Indian Head,Indian Head Bakery,South East,"November 9, 2020",Bakery
Indian Head,Golden Prairie Home,South East,"November 7, 2020",Long-term care home
Moose Jaw,Prince Arthur School,South Central,"November 13, 2020",School
Moose Jaw,Moose Jaw Extendicare,South Central,"November 12, 2020",Long-term care home
Moose Jaw,Guac Mexi Grill,South Central,"October 23, 2020",Restaurant
Swift Current,Houston Pizza,South West,"November 8, 2020",Restaurant
Martensville,Martensville High School,NA,"November 11, 2020",School
Martensville,Martensville Coop Grocery Store,NA,"November 3, 2020",Grocery Store
Saskatoon,Holy Family School,NA,"November 9, 2020",School
Saskatoon,Rehoboth Elder Care,NA,"November 9, 2020",Personal Care Home
Saskatoon,Edward Manor,NA,"November 9, 2020",Group Home
Saskatoon,Ranch Ehrlo Society,NA,"November 5, 2020",Group Home
Saskatoon,YMCA Sutherland Daycare,NA,"November 5, 2020",Daycare
Saskatoon,ConTech General Contractors,NA,"November 5, 2020",Workplace
Saskatoon,Saskatoon Co-op Agro,NA,"November 4, 2020",Workplace
Saskatoon,ACT Arena (Skate Saskatoon),NA,"November 4, 2020",Workplace
Saskatoon,Dakota Dunes Casino,NA,"November 3, 2020",Casino
Saskatoon,City Centre Bingo,NA,"November 3, 2020",Bingo Hall
Saskatoon,Real Canadian Superstore (Confederation),NA,"November 3, 2020",Grocery Store
Saskatoon,Motion Fitness (Lawson),NA,"November 2, 2020",Gym
Saskatoon,Saskatchewan Indian Institute of Technologies (SIIT),NA,"October 28, 2020",School
Saskatoon,Boston Pizza (8th Street),NA,"October 28, 2020",Restaurant
Saskatoon,Aria Food and Spirits,NA,"October 24, 2020",Restaurant
Saskatoon,Tommy Douglas Collegiate,NA,"October 24, 2020",School
Saskatoon,Marion M. Graham Collegiate,NA,"October 24, 2020",School
Saskatoon,Outlaws Country Rock Bar,NA,"October 23, 2020",Nightclub
Saskatoon,The Lighthouse Supported Living,NA,"October 23, 2020",Community-based organization
Saskatoon,Hudsons,NA,"October 23, 2020",Restaurant
Saskatoon,Old Spaghetti Factory,NA,"October 22, 2020",Restaurant
Saskatoon,Hose & Hydrant Brew Pub,NA,"October 22, 2020",Restaurant
Saskatoon,Crazy Eggs/Riviera Bar,NA,"October 21, 2020",Restaurant/Lounge
Saskatoon,Motion Fitness (Brighton),NA,"October 21, 2020",Gym
Lumsden,RM of Lumsden 189,NA,"September 18, 2020",Communal living setting
Regina,CIBC,NA,"November 13, 2020",Workplace
Regina,Thompson School,NA,"November 12, 2020",School
Regina,Lakeview School Regina,NA,"November 12, 2020",School
Regina,U of R Paul Schwann Fitness Centre,NA,"November 11, 2020",Gym
Regina,SaskEnergy,NA,"November 9, 2020",Workplace
Regina,Hookah Lounge,NA,"November 7, 2020",Nightclub/Lounge
Regina,Gladys McDonald School,NA,"November 6, 2020",School
Regina,Huda School,NA,"November 6, 2020",School
Regina,MacNeill Elementary School,NA,"November 6, 2020",School
Regina,Ranch Ehrlo,NA,"November 6, 2020",Group Home
Regina,Thom Collegiate,NA,"November 3, 2020",School
Regina,Madni Islamic Centre,NA,"November 1, 2020",Place of Worship
Regina,St. Kateri Tekakwitha School,NA,"October 28, 2020",School
Regina,Dr. Martin LeBoldus High School,NA,"October 23, 2020",School
Regina,Kitchener Community (Elementary) School,NA,"October 23, 2020",School
Regina,R.C.M.P. - F Division,NA,"October 22, 2020",Workplace
Regina,Ã‰cole Harbour Landing Elementary School,NA,"October 13, 2020",School
Sherwood,High Hill Welding,NA,"November 12, 2020",Workplace
