"fit","lwr","upr","fcastday","Date"
1088,878,1349,2020-03-31,2020-04-13
1255,1000,1575,2020-03-31,2020-04-14
1448,1139,1840,2020-03-31,2020-04-15
1670,1297,2149,2020-03-31,2020-04-16
1926,1477,2510,2020-03-31,2020-04-17
2221,1682,2932,2020-03-31,2020-04-18
2561,1915,3425,2020-03-31,2020-04-19
2954,2181,4000,2020-03-31,2020-04-20
3406,2484,4672,2020-03-31,2020-04-21
3929,2828,5457,2020-03-31,2020-04-22
4531,3220,6374,2020-03-31,2020-04-23
5225,3667,7445,2020-03-31,2020-04-24
6026,4176,8696,2020-03-31,2020-04-25
6949,4754,10158,2020-03-31,2020-04-26
8015,5414,11865,2020-03-31,2020-04-27
9243,6164,13858,2020-03-31,2020-04-28
10659,7019,16187,2020-03-31,2020-04-29
12293,7992,18908,2020-03-31,2020-04-30
14177,9100,22086,2020-03-31,2020-05-01
16349,10362,25797,2020-03-31,2020-05-02
18855,11798,30133,2020-03-31,2020-05-03
21745,13433,35197,2020-03-31,2020-05-04
1,1,1,2020-04-01,2020-03-12
2,2,2,2020-04-01,2020-03-13
6,6,6,2020-04-01,2020-03-14
6,6,6,2020-04-01,2020-03-15
7,7,7,2020-04-01,2020-03-16
8,8,8,2020-04-01,2020-03-17
16,16,16,2020-04-01,2020-03-18
20,20,20,2020-04-01,2020-03-19
26,26,26,2020-04-01,2020-03-20
44,44,44,2020-04-01,2020-03-21
52,52,52,2020-04-01,2020-03-22
66,66,66,2020-04-01,2020-03-23
72,72,72,2020-04-01,2020-03-24
86,86,86,2020-04-01,2020-03-25
95,95,95,2020-04-01,2020-03-26
104,104,104,2020-04-01,2020-03-27
134,134,134,2020-04-01,2020-03-28
156,156,156,2020-04-01,2020-03-29
176,176,176,2020-04-01,2020-03-30
184,184,184,2020-04-01,2020-03-31
193,193,193,2020-04-01,2020-04-01
242,219,267,2020-04-01,2020-04-02
275,246,308,2020-04-01,2020-04-03
314,276,357,2020-04-01,2020-04-04
358,310,413,2020-04-01,2020-04-05
408,348,477,2020-04-01,2020-04-06
465,391,552,2020-04-01,2020-04-07
530,439,639,2020-04-01,2020-04-09
604,493,740,2020-04-01,2020-04-10
688,553,856,2020-04-01,2020-04-11
784,620,991,2020-04-01,2020-04-12
893,696,1147,2020-04-01,2020-04-13
1018,781,1327,2020-04-01,2020-04-14
1160,876,1537,2020-04-01,2020-04-15
1322,983,1779,2020-04-01,2020-04-16
1507,1103,2059,2020-04-01,2020-04-17
1717,1237,2383,2020-04-01,2020-04-18
1956,1388,2758,2020-04-01,2020-04-19
2229,1557,3193,2020-04-01,2020-04-20
2541,1746,3696,2020-04-01,2020-04-21
2895,1959,4279,2020-04-01,2020-04-22
3299,2197,4953,2020-04-01,2020-04-23
3759,2465,5733,2020-04-01,2020-04-24
4284,2765,6637,2020-04-01,2020-04-25
4881,3101,7683,2020-04-01,2020-04-26
5562,3479,8894,2020-04-01,2020-04-27
6338,3902,10296,2020-04-01,2020-04-28
7223,4377,11918,2020-04-01,2020-04-29
8230,4909,13797,2020-04-01,2020-04-30
9378,5507,15972,2020-04-01,2020-05-01
10687,6177,18489,2020-04-01,2020-05-02
12178,6928,21404,2020-04-01,2020-05-03
13877,7771,24778,2020-04-01,2020-05-04
1,1,1,2020-04-02,2020-03-12
2,2,2,2020-04-02,2020-03-13
6,6,6,2020-04-02,2020-03-14
6,6,6,2020-04-02,2020-03-15
7,7,7,2020-04-02,2020-03-16
8,8,8,2020-04-02,2020-03-17
16,16,16,2020-04-02,2020-03-18
20,20,20,2020-04-02,2020-03-19
26,26,26,2020-04-02,2020-03-20
44,44,44,2020-04-02,2020-03-21
52,52,52,2020-04-02,2020-03-22
66,66,66,2020-04-02,2020-03-23
72,72,72,2020-04-02,2020-03-24
86,86,86,2020-04-02,2020-03-25
95,95,95,2020-04-02,2020-03-26
104,104,104,2020-04-02,2020-03-27
134,134,134,2020-04-02,2020-03-28
156,156,156,2020-04-02,2020-03-29
176,176,176,2020-04-02,2020-03-30
184,184,184,2020-04-02,2020-03-31
193,193,193,2020-04-02,2020-04-01
206,206,206,2020-04-02,2020-04-02
259,229,292,2020-04-02,2020-04-03
292,254,336,2020-04-02,2020-04-04
330,282,387,2020-04-02,2020-04-05
373,312,446,2020-04-02,2020-04-06
422,347,513,2020-04-02,2020-04-07
477,384,591,2020-04-02,2020-04-09
539,426,681,2020-04-02,2020-04-10
609,472,785,2020-04-02,2020-04-11
688,523,904,2020-04-02,2020-04-12
777,580,1042,2020-04-02,2020-04-13
878,643,1200,2020-04-02,2020-04-14
993,712,1383,2020-04-02,2020-04-15
1122,790,1593,2020-04-02,2020-04-16
1267,875,1836,2020-04-02,2020-04-17
1432,969,2115,2020-04-02,2020-04-18
1618,1074,2438,2020-04-02,2020-04-19
1829,1190,2809,2020-04-02,2020-04-20
2066,1319,3237,2020-04-02,2020-04-21
2335,1461,3730,2020-04-02,2020-04-22
2638,1619,4298,2020-04-02,2020-04-23
2981,1794,4953,2020-04-02,2020-04-24
3368,1988,5708,2020-04-02,2020-04-25
3806,2202,6578,2020-04-02,2020-04-26
4300,2440,7580,2020-04-02,2020-04-27
4859,2703,8735,2020-04-02,2020-04-28
5491,2995,10067,2020-04-02,2020-04-29
6204,3318,11601,2020-04-02,2020-04-30
7010,3676,13369,2020-04-02,2020-05-01
7921,4072,15407,2020-04-02,2020-05-02
8950,4512,17755,2020-04-02,2020-05-03
10113,4998,20462,2020-04-02,2020-05-04
1,1,1,2020-04-03,2020-03-12
2,2,2,2020-04-03,2020-03-13
6,6,6,2020-04-03,2020-03-14
6,6,6,2020-04-03,2020-03-15
7,7,7,2020-04-03,2020-03-16
8,8,8,2020-04-03,2020-03-17
16,16,16,2020-04-03,2020-03-18
20,20,20,2020-04-03,2020-03-19
26,26,26,2020-04-03,2020-03-20
44,44,44,2020-04-03,2020-03-21
52,52,52,2020-04-03,2020-03-22
66,66,66,2020-04-03,2020-03-23
72,72,72,2020-04-03,2020-03-24
86,86,86,2020-04-03,2020-03-25
95,95,95,2020-04-03,2020-03-26
104,104,104,2020-04-03,2020-03-27
134,134,134,2020-04-03,2020-03-28
156,156,156,2020-04-03,2020-03-29
176,176,176,2020-04-03,2020-03-30
184,184,184,2020-04-03,2020-03-31
193,193,193,2020-04-03,2020-04-01
206,206,206,2020-04-03,2020-04-02
220,220,220,2020-04-03,2020-04-03
269,236,308,2020-04-03,2020-04-04
301,258,350,2020-04-03,2020-04-05
335,282,399,2020-04-03,2020-04-06
374,309,454,2020-04-03,2020-04-07
417,337,517,2020-04-03,2020-04-09
466,369,588,2020-04-03,2020-04-10
520,403,670,2020-04-03,2020-04-11
580,440,763,2020-04-03,2020-04-12
647,481,870,2020-04-03,2020-04-13
721,525,991,2020-04-03,2020-04-14
805,574,1129,2020-04-03,2020-04-15
898,627,1286,2020-04-03,2020-04-16
1002,684,1465,2020-04-03,2020-04-17
1117,748,1670,2020-04-03,2020-04-18
1246,816,1903,2020-04-03,2020-04-19
1390,892,2168,2020-04-03,2020-04-20
1551,974,2471,2020-04-03,2020-04-21
1730,1063,2815,2020-04-03,2020-04-22
1930,1161,3208,2020-04-03,2020-04-23
2153,1268,3656,2020-04-03,2020-04-24
2402,1385,4166,2020-04-03,2020-04-25
2679,1512,4747,2020-04-03,2020-04-26
2989,1651,5410,2020-04-03,2020-04-27
3334,1803,6165,2020-04-03,2020-04-28
3719,1969,7025,2020-04-03,2020-04-29
4149,2150,8006,2020-04-03,2020-04-30
4628,2348,9124,2020-04-03,2020-05-01
5163,2563,10397,2020-04-03,2020-05-02
5759,2799,11849,2020-04-03,2020-05-03
6424,3056,13503,2020-04-03,2020-05-04
1,1,1,2020-04-04,2020-03-12
2,2,2,2020-04-04,2020-03-13
6,6,6,2020-04-04,2020-03-14
6,6,6,2020-04-04,2020-03-15
7,7,7,2020-04-04,2020-03-16
8,8,8,2020-04-04,2020-03-17
16,16,16,2020-04-04,2020-03-18
20,20,20,2020-04-04,2020-03-19
26,26,26,2020-04-04,2020-03-20
44,44,44,2020-04-04,2020-03-21
52,52,52,2020-04-04,2020-03-22
66,66,66,2020-04-04,2020-03-23
72,72,72,2020-04-04,2020-03-24
86,86,86,2020-04-04,2020-03-25
95,95,95,2020-04-04,2020-03-26
104,104,104,2020-04-04,2020-03-27
134,134,134,2020-04-04,2020-03-28
156,156,156,2020-04-04,2020-03-29
176,176,176,2020-04-04,2020-03-30
184,184,184,2020-04-04,2020-03-31
193,193,193,2020-04-04,2020-04-01
206,206,206,2020-04-04,2020-04-02
220,220,220,2020-04-04,2020-04-03
231,231,231,2020-04-04,2020-04-04
279,241,322,2020-04-04,2020-04-05
307,261,362,2020-04-04,2020-04-06
339,281,408,2020-04-04,2020-04-07
373,303,459,2020-04-04,2020-04-09
412,327,518,2020-04-04,2020-04-10
454,353,583,2020-04-04,2020-04-11
500,380,658,2020-04-04,2020-04-12
552,410,742,2020-04-04,2020-04-13
608,442,836,2020-04-04,2020-04-14
670,476,943,2020-04-04,2020-04-15
739,513,1063,2020-04-04,2020-04-16
815,553,1199,2020-04-04,2020-04-17
898,596,1352,2020-04-04,2020-04-18
990,643,1525,2020-04-04,2020-04-19
1091,692,1720,2020-04-04,2020-04-20
1203,746,1940,2020-04-04,2020-04-21
1326,804,2188,2020-04-04,2020-04-22
1462,866,2467,2020-04-04,2020-04-23
1611,933,2783,2020-04-04,2020-04-24
1776,1005,3139,2020-04-04,2020-04-25
1958,1083,3540,2020-04-04,2020-04-26
2159,1167,3993,2020-04-04,2020-04-27
2380,1257,4504,2020-04-04,2020-04-28
2623,1354,5080,2020-04-04,2020-04-29
2892,1459,5730,2020-04-04,2020-04-30
3188,1572,6463,2020-04-04,2020-05-01
3514,1693,7290,2020-04-04,2020-05-02
3873,1824,8223,2020-04-04,2020-05-03
4270,1965,9275,2020-04-04,2020-05-04
1,1,1,2020-04-05,2020-03-12
2,2,2,2020-04-05,2020-03-13
6,6,6,2020-04-05,2020-03-14
6,6,6,2020-04-05,2020-03-15
7,7,7,2020-04-05,2020-03-16
8,8,8,2020-04-05,2020-03-17
16,16,16,2020-04-05,2020-03-18
20,20,20,2020-04-05,2020-03-19
26,26,26,2020-04-05,2020-03-20
44,44,44,2020-04-05,2020-03-21
52,52,52,2020-04-05,2020-03-22
66,66,66,2020-04-05,2020-03-23
72,72,72,2020-04-05,2020-03-24
86,86,86,2020-04-05,2020-03-25
95,95,95,2020-04-05,2020-03-26
104,104,104,2020-04-05,2020-03-27
134,134,134,2020-04-05,2020-03-28
156,156,156,2020-04-05,2020-03-29
176,176,176,2020-04-05,2020-03-30
184,184,184,2020-04-05,2020-03-31
193,193,193,2020-04-05,2020-04-01
206,206,206,2020-04-05,2020-04-02
220,220,220,2020-04-05,2020-04-03
231,231,231,2020-04-05,2020-04-04
249,249,249,2020-04-05,2020-04-05
285,251,325,2020-04-05,2020-04-06
311,268,360,2020-04-05,2020-04-07
338,286,400,2020-04-05,2020-04-09
368,305,444,2020-04-05,2020-04-10
400,325,492,2020-04-05,2020-04-11
435,347,547,2020-04-05,2020-04-12
474,370,607,2020-04-05,2020-04-13
515,394,674,2020-04-05,2020-04-14
561,420,748,2020-04-05,2020-04-15
610,448,831,2020-04-05,2020-04-16
664,477,923,2020-04-05,2020-04-17
722,509,1025,2020-04-05,2020-04-18
786,542,1138,2020-04-05,2020-04-19
855,578,1264,2020-04-05,2020-04-20
930,616,1404,2020-04-05,2020-04-21
1012,657,1560,2020-04-05,2020-04-22
1101,700,1732,2020-04-05,2020-04-23
1198,746,1924,2020-04-05,2020-04-24
1303,795,2137,2020-04-05,2020-04-25
1418,847,2374,2020-04-05,2020-04-26
1543,902,2637,2020-04-05,2020-04-27
1678,962,2929,2020-04-05,2020-04-28
1826,1025,3254,2020-04-05,2020-04-29
1987,1092,3614,2020-04-05,2020-04-30
2162,1164,4015,2020-04-05,2020-05-01
2352,1240,4460,2020-04-05,2020-05-02
2559,1321,4954,2020-04-05,2020-05-03
2784,1408,5503,2020-04-05,2020-05-04
1,1,1,2020-04-06,2020-03-12
2,2,2,2020-04-06,2020-03-13
6,6,6,2020-04-06,2020-03-14
6,6,6,2020-04-06,2020-03-15
7,7,7,2020-04-06,2020-03-16
8,8,8,2020-04-06,2020-03-17
16,16,16,2020-04-06,2020-03-18
20,20,20,2020-04-06,2020-03-19
26,26,26,2020-04-06,2020-03-20
44,44,44,2020-04-06,2020-03-21
52,52,52,2020-04-06,2020-03-22
66,66,66,2020-04-06,2020-03-23
72,72,72,2020-04-06,2020-03-24
86,86,86,2020-04-06,2020-03-25
95,95,95,2020-04-06,2020-03-26
104,104,104,2020-04-06,2020-03-27
134,134,134,2020-04-06,2020-03-28
156,156,156,2020-04-06,2020-03-29
176,176,176,2020-04-06,2020-03-30
184,184,184,2020-04-06,2020-03-31
193,193,193,2020-04-06,2020-04-01
206,206,206,2020-04-06,2020-04-02
220,220,220,2020-04-06,2020-04-03
231,231,231,2020-04-06,2020-04-04
249,249,249,2020-04-06,2020-04-05
253,253,253,2020-04-06,2020-04-06
283,265,302,2020-04-06,2020-04-07
302,280,326,2020-04-06,2020-04-09
323,296,352,2020-04-06,2020-04-10
345,314,380,2020-04-06,2020-04-11
369,332,410,2020-04-06,2020-04-12
394,351,443,2020-04-06,2020-04-13
421,371,478,2020-04-06,2020-04-14
450,393,516,2020-04-06,2020-04-15
481,415,558,2020-04-06,2020-04-16
514,439,602,2020-04-06,2020-04-17
550,465,650,2020-04-06,2020-04-18
587,491,702,2020-04-06,2020-04-19
628,520,758,2020-04-06,2020-04-20
671,549,819,2020-04-06,2020-04-21
717,581,885,2020-04-06,2020-04-22
766,614,955,2020-04-06,2020-04-23
819,650,1032,2020-04-06,2020-04-24
875,687,1114,2020-04-06,2020-04-25
935,726,1204,2020-04-06,2020-04-26
999,768,1300,2020-04-06,2020-04-27
1068,812,1404,2020-04-06,2020-04-28
1141,859,1516,2020-04-06,2020-04-29
1220,908,1638,2020-04-06,2020-04-30
1303,960,1769,2020-04-06,2020-05-01
1393,1016,1910,2020-04-06,2020-05-02
1489,1074,2063,2020-04-06,2020-05-03
1591,1135,2229,2020-04-06,2020-05-04
1,1,1,2020-04-07,2020-03-12
2,2,2,2020-04-07,2020-03-13
6,6,6,2020-04-07,2020-03-14
6,6,6,2020-04-07,2020-03-15
7,7,7,2020-04-07,2020-03-16
8,8,8,2020-04-07,2020-03-17
16,16,16,2020-04-07,2020-03-18
20,20,20,2020-04-07,2020-03-19
26,26,26,2020-04-07,2020-03-20
44,44,44,2020-04-07,2020-03-21
52,52,52,2020-04-07,2020-03-22
66,66,66,2020-04-07,2020-03-23
72,72,72,2020-04-07,2020-03-24
86,86,86,2020-04-07,2020-03-25
95,95,95,2020-04-07,2020-03-26
104,104,104,2020-04-07,2020-03-27
134,134,134,2020-04-07,2020-03-28
156,156,156,2020-04-07,2020-03-29
176,176,176,2020-04-07,2020-03-30
184,184,184,2020-04-07,2020-03-31
193,193,193,2020-04-07,2020-04-01
206,206,206,2020-04-07,2020-04-02
220,220,220,2020-04-07,2020-04-03
231,231,231,2020-04-07,2020-04-04
249,249,249,2020-04-07,2020-04-05
253,253,253,2020-04-07,2020-04-06
260,260,260,2020-04-07,2020-04-07
285,274,298,2020-04-07,2020-04-09
302,288,317,2020-04-07,2020-04-10
319,303,337,2020-04-07,2020-04-11
338,318,359,2020-04-07,2020-04-12
357,334,382,2020-04-07,2020-04-13
378,352,407,2020-04-07,2020-04-14
400,369,433,2020-04-07,2020-04-15
423,388,461,2020-04-07,2020-04-16
447,408,491,2020-04-07,2020-04-17
473,429,522,2020-04-07,2020-04-18
501,451,556,2020-04-07,2020-04-19
529,473,592,2020-04-07,2020-04-20
560,498,630,2020-04-07,2020-04-21
592,523,671,2020-04-07,2020-04-22
627,549,715,2020-04-07,2020-04-23
663,577,761,2020-04-07,2020-04-24
701,607,810,2020-04-07,2020-04-25
742,637,863,2020-04-07,2020-04-26
784,670,919,2020-04-07,2020-04-27
830,704,978,2020-04-07,2020-04-28
878,739,1041,2020-04-07,2020-04-29
928,777,1109,2020-04-07,2020-04-30
982,816,1181,2020-04-07,2020-05-01
1038,858,1257,2020-04-07,2020-05-02
1098,901,1339,2020-04-07,2020-05-03
1162,947,1425,2020-04-07,2020-05-04
1,1,1,2020-04-09,2020-03-12
2,2,2,2020-04-09,2020-03-13
6,6,6,2020-04-09,2020-03-14
6,6,6,2020-04-09,2020-03-15
7,7,7,2020-04-09,2020-03-16
8,8,8,2020-04-09,2020-03-17
16,16,16,2020-04-09,2020-03-18
20,20,20,2020-04-09,2020-03-19
26,26,26,2020-04-09,2020-03-20
44,44,44,2020-04-09,2020-03-21
52,52,52,2020-04-09,2020-03-22
66,66,66,2020-04-09,2020-03-23
72,72,72,2020-04-09,2020-03-24
86,86,86,2020-04-09,2020-03-25
95,95,95,2020-04-09,2020-03-26
104,104,104,2020-04-09,2020-03-27
134,134,134,2020-04-09,2020-03-28
156,156,156,2020-04-09,2020-03-29
176,176,176,2020-04-09,2020-03-30
184,184,184,2020-04-09,2020-03-31
193,193,193,2020-04-09,2020-04-01
206,206,206,2020-04-09,2020-04-02
220,220,220,2020-04-09,2020-04-03
231,231,231,2020-04-09,2020-04-04
249,249,249,2020-04-09,2020-04-05
253,253,253,2020-04-09,2020-04-06
260,260,260,2020-04-09,2020-04-07
278,278,278,2020-04-09,2020-04-09
295,287,303,2020-04-09,2020-04-10
311,301,321,2020-04-09,2020-04-11
327,315,339,2020-04-09,2020-04-12
344,331,359,2020-04-09,2020-04-13
363,347,379,2020-04-09,2020-04-14
382,363,401,2020-04-09,2020-04-15
402,381,424,2020-04-09,2020-04-16
423,399,449,2020-04-09,2020-04-17
446,419,475,2020-04-09,2020-04-18
469,439,502,2020-04-09,2020-04-19
494,460,531,2020-04-09,2020-04-20
520,482,562,2020-04-09,2020-04-21
548,506,594,2020-04-09,2020-04-22
577,530,628,2020-04-09,2020-04-23
608,556,664,2020-04-09,2020-04-24
640,582,703,2020-04-09,2020-04-25
674,610,743,2020-04-09,2020-04-26
709,640,786,2020-04-09,2020-04-27
747,671,832,2020-04-09,2020-04-28
786,703,880,2020-04-09,2020-04-29
828,737,930,2020-04-09,2020-04-30
872,772,984,2020-04-09,2020-05-01
918,810,1041,2020-04-09,2020-05-02
967,849,1101,2020-04-09,2020-05-03
1018,890,1164,2020-04-09,2020-05-04
1,1,1,2020-04-10,2020-03-12
2,2,2,2020-04-10,2020-03-13
6,6,6,2020-04-10,2020-03-14
6,6,6,2020-04-10,2020-03-15
7,7,7,2020-04-10,2020-03-16
8,8,8,2020-04-10,2020-03-17
16,16,16,2020-04-10,2020-03-18
20,20,20,2020-04-10,2020-03-19
26,26,26,2020-04-10,2020-03-20
44,44,44,2020-04-10,2020-03-21
52,52,52,2020-04-10,2020-03-22
66,66,66,2020-04-10,2020-03-23
72,72,72,2020-04-10,2020-03-24
86,86,86,2020-04-10,2020-03-25
95,95,95,2020-04-10,2020-03-26
104,104,104,2020-04-10,2020-03-27
134,134,134,2020-04-10,2020-03-28
156,156,156,2020-04-10,2020-03-29
176,176,176,2020-04-10,2020-03-30
184,184,184,2020-04-10,2020-03-31
193,193,193,2020-04-10,2020-04-01
206,206,206,2020-04-10,2020-04-02
220,220,220,2020-04-10,2020-04-03
231,231,231,2020-04-10,2020-04-04
249,249,249,2020-04-10,2020-04-05
253,253,253,2020-04-10,2020-04-06
260,260,260,2020-04-10,2020-04-07
278,278,278,2020-04-10,2020-04-09
285,285,285,2020-04-10,2020-04-10
306,296,316,2020-04-10,2020-04-11
321,310,334,2020-04-10,2020-04-12
338,324,352,2020-04-10,2020-04-13
355,339,372,2020-04-10,2020-04-14
373,354,393,2020-04-10,2020-04-15
392,370,415,2020-04-10,2020-04-16
412,387,438,2020-04-10,2020-04-17
433,405,462,2020-04-10,2020-04-18
454,423,488,2020-04-10,2020-04-19
477,442,516,2020-04-10,2020-04-20
502,462,545,2020-04-10,2020-04-21
527,483,575,2020-04-10,2020-04-22
554,505,607,2020-04-10,2020-04-23
582,528,642,2020-04-10,2020-04-24
611,552,678,2020-04-10,2020-04-25
642,577,716,2020-04-10,2020-04-26
675,603,756,2020-04-10,2020-04-27
709,630,798,2020-04-10,2020-04-28
745,659,843,2020-04-10,2020-04-29
783,688,890,2020-04-10,2020-04-30
823,720,940,2020-04-10,2020-05-01
864,752,993,2020-04-10,2020-05-02
908,786,1049,2020-04-10,2020-05-03
954,822,1107,2020-04-10,2020-05-04
1,1,1,2020-04-11,2020-03-12
2,2,2,2020-04-11,2020-03-13
6,6,6,2020-04-11,2020-03-14
6,6,6,2020-04-11,2020-03-15
7,7,7,2020-04-11,2020-03-16
8,8,8,2020-04-11,2020-03-17
16,16,16,2020-04-11,2020-03-18
20,20,20,2020-04-11,2020-03-19
26,26,26,2020-04-11,2020-03-20
44,44,44,2020-04-11,2020-03-21
52,52,52,2020-04-11,2020-03-22
66,66,66,2020-04-11,2020-03-23
72,72,72,2020-04-11,2020-03-24
86,86,86,2020-04-11,2020-03-25
95,95,95,2020-04-11,2020-03-26
104,104,104,2020-04-11,2020-03-27
134,134,134,2020-04-11,2020-03-28
156,156,156,2020-04-11,2020-03-29
176,176,176,2020-04-11,2020-03-30
184,184,184,2020-04-11,2020-03-31
193,193,193,2020-04-11,2020-04-01
206,206,206,2020-04-11,2020-04-02
220,220,220,2020-04-11,2020-04-03
231,231,231,2020-04-11,2020-04-04
249,249,249,2020-04-11,2020-04-05
253,253,253,2020-04-11,2020-04-06
260,260,260,2020-04-11,2020-04-07
278,278,278,2020-04-11,2020-04-09
285,285,285,2020-04-11,2020-04-10
289,289,289,2020-04-11,2020-04-11
313,301,325,2020-04-11,2020-04-12
327,313,342,2020-04-11,2020-04-13
342,325,360,2020-04-11,2020-04-14
358,338,379,2020-04-11,2020-04-15
375,352,399,2020-04-11,2020-04-16
392,366,420,2020-04-11,2020-04-17
410,381,442,2020-04-11,2020-04-18
429,396,465,2020-04-11,2020-04-19
449,412,489,2020-04-11,2020-04-20
470,428,515,2020-04-11,2020-04-21
491,445,542,2020-04-11,2020-04-22
514,463,571,2020-04-11,2020-04-23
538,481,601,2020-04-11,2020-04-24
563,500,632,2020-04-11,2020-04-25
589,520,666,2020-04-11,2020-04-26
616,541,701,2020-04-11,2020-04-27
644,562,738,2020-04-11,2020-04-28
674,585,777,2020-04-11,2020-04-29
705,608,818,2020-04-11,2020-04-30
738,632,861,2020-04-11,2020-05-01
772,657,906,2020-04-11,2020-05-02
807,683,954,2020-04-11,2020-05-03
845,711,1004,2020-04-11,2020-05-04
1,1,1,2020-04-12,2020-03-12
2,2,2,2020-04-12,2020-03-13
6,6,6,2020-04-12,2020-03-14
6,6,6,2020-04-12,2020-03-15
7,7,7,2020-04-12,2020-03-16
8,8,8,2020-04-12,2020-03-17
16,16,16,2020-04-12,2020-03-18
20,20,20,2020-04-12,2020-03-19
26,26,26,2020-04-12,2020-03-20
44,44,44,2020-04-12,2020-03-21
52,52,52,2020-04-12,2020-03-22
66,66,66,2020-04-12,2020-03-23
72,72,72,2020-04-12,2020-03-24
86,86,86,2020-04-12,2020-03-25
95,95,95,2020-04-12,2020-03-26
104,104,104,2020-04-12,2020-03-27
134,134,134,2020-04-12,2020-03-28
156,156,156,2020-04-12,2020-03-29
176,176,176,2020-04-12,2020-03-30
184,184,184,2020-04-12,2020-03-31
193,193,193,2020-04-12,2020-04-01
206,206,206,2020-04-12,2020-04-02
220,220,220,2020-04-12,2020-04-03
231,231,231,2020-04-12,2020-04-04
249,249,249,2020-04-12,2020-04-05
253,253,253,2020-04-12,2020-04-06
260,260,260,2020-04-12,2020-04-07
278,278,278,2020-04-12,2020-04-09
285,285,285,2020-04-12,2020-04-10
289,289,289,2020-04-12,2020-04-11
298,298,298,2020-04-12,2020-04-12
318,307,330,2020-04-12,2020-04-13
331,317,345,2020-04-12,2020-04-14
345,329,361,2020-04-12,2020-04-15
359,340,378,2020-04-12,2020-04-16
373,352,396,2020-04-12,2020-04-17
389,365,414,2020-04-12,2020-04-18
405,378,434,2020-04-12,2020-04-19
421,391,454,2020-04-12,2020-04-20
439,405,476,2020-04-12,2020-04-21
457,419,498,2020-04-12,2020-04-22
476,434,522,2020-04-12,2020-04-23
495,449,546,2020-04-12,2020-04-24
516,465,572,2020-04-12,2020-04-25
537,481,599,2020-04-12,2020-04-26
559,498,627,2020-04-12,2020-04-27
582,515,657,2020-04-12,2020-04-28
606,533,688,2020-04-12,2020-04-29
631,552,720,2020-04-12,2020-04-30
657,572,754,2020-04-12,2020-05-01
683,592,790,2020-04-12,2020-05-02
712,612,827,2020-04-12,2020-05-03
741,634,866,2020-04-12,2020-05-04
1,1,1,2020-04-13,2020-03-12
2,2,2,2020-04-13,2020-03-13
6,6,6,2020-04-13,2020-03-14
6,6,6,2020-04-13,2020-03-15
7,7,7,2020-04-13,2020-03-16
8,8,8,2020-04-13,2020-03-17
16,16,16,2020-04-13,2020-03-18
20,20,20,2020-04-13,2020-03-19
26,26,26,2020-04-13,2020-03-20
44,44,44,2020-04-13,2020-03-21
