"fit","lwr","upr","fcastday","Date"
52,52,52,2020-04-13,2020-03-22
66,66,66,2020-04-13,2020-03-23
72,72,72,2020-04-13,2020-03-24
86,86,86,2020-04-13,2020-03-25
95,95,95,2020-04-13,2020-03-26
104,104,104,2020-04-13,2020-03-27
134,134,134,2020-04-13,2020-03-28
156,156,156,2020-04-13,2020-03-29
176,176,176,2020-04-13,2020-03-30
184,184,184,2020-04-13,2020-03-31
193,193,193,2020-04-13,2020-04-01
206,206,206,2020-04-13,2020-04-02
220,220,220,2020-04-13,2020-04-03
231,231,231,2020-04-13,2020-04-04
249,249,249,2020-04-13,2020-04-05
253,253,253,2020-04-13,2020-04-06
260,260,260,2020-04-13,2020-04-07
278,278,278,2020-04-13,2020-04-09
285,285,285,2020-04-13,2020-04-10
289,289,289,2020-04-13,2020-04-11
298,298,298,2020-04-13,2020-04-12
300,300,300,2020-04-13,2020-04-13
320,309,332,2020-04-13,2020-04-14
332,318,346,2020-04-13,2020-04-15
343,328,360,2020-04-13,2020-04-16
356,338,375,2020-04-13,2020-04-17
368,348,390,2020-04-13,2020-04-18
381,358,406,2020-04-13,2020-04-19
395,369,423,2020-04-13,2020-04-20
409,379,441,2020-04-13,2020-04-21
423,391,459,2020-04-13,2020-04-22
438,402,478,2020-04-13,2020-04-23
454,414,498,2020-04-13,2020-04-24
470,426,518,2020-04-13,2020-04-25
487,439,540,2020-04-13,2020-04-26
504,452,562,2020-04-13,2020-04-27
522,465,585,2020-04-13,2020-04-28
540,479,609,2020-04-13,2020-04-29
559,493,635,2020-04-13,2020-04-30
579,508,661,2020-04-13,2020-05-01
600,523,688,2020-04-13,2020-05-02
621,538,717,2020-04-13,2020-05-03
643,554,747,2020-04-13,2020-05-04
1,1,1,2020-04-14,2020-03-12
2,2,2,2020-04-14,2020-03-13
6,6,6,2020-04-14,2020-03-14
6,6,6,2020-04-14,2020-03-15
7,7,7,2020-04-14,2020-03-16
8,8,8,2020-04-14,2020-03-17
16,16,16,2020-04-14,2020-03-18
20,20,20,2020-04-14,2020-03-19
26,26,26,2020-04-14,2020-03-20
44,44,44,2020-04-14,2020-03-21
52,52,52,2020-04-14,2020-03-22
66,66,66,2020-04-14,2020-03-23
72,72,72,2020-04-14,2020-03-24
86,86,86,2020-04-14,2020-03-25
95,95,95,2020-04-14,2020-03-26
104,104,104,2020-04-14,2020-03-27
134,134,134,2020-04-14,2020-03-28
156,156,156,2020-04-14,2020-03-29
176,176,176,2020-04-14,2020-03-30
184,184,184,2020-04-14,2020-03-31
193,193,193,2020-04-14,2020-04-01
206,206,206,2020-04-14,2020-04-02
220,220,220,2020-04-14,2020-04-03
231,231,231,2020-04-14,2020-04-04
249,249,249,2020-04-14,2020-04-05
253,253,253,2020-04-14,2020-04-06
260,260,260,2020-04-14,2020-04-07
278,278,278,2020-04-14,2020-04-09
285,285,285,2020-04-14,2020-04-10
289,289,289,2020-04-14,2020-04-11
298,298,298,2020-04-14,2020-04-12
300,300,300,2020-04-14,2020-04-13
301,301,301,2020-04-14,2020-04-14
321,309,334,2020-04-14,2020-04-15
330,316,345,2020-04-14,2020-04-16
340,324,358,2020-04-14,2020-04-17
350,331,371,2020-04-14,2020-04-18
361,339,384,2020-04-14,2020-04-19
372,347,398,2020-04-14,2020-04-20
383,355,412,2020-04-14,2020-04-21
394,364,427,2020-04-14,2020-04-22
406,372,443,2020-04-14,2020-04-23
418,381,459,2020-04-14,2020-04-24
431,390,475,2020-04-14,2020-04-25
443,399,492,2020-04-14,2020-04-26
457,409,510,2020-04-14,2020-04-27
470,418,529,2020-04-14,2020-04-28
484,428,548,2020-04-14,2020-04-29
499,438,568,2020-04-14,2020-04-30
514,448,588,2020-04-14,2020-05-01
529,459,610,2020-04-14,2020-05-02
545,470,632,2020-04-14,2020-05-03
561,481,655,2020-04-14,2020-05-04
1,1,1,2020-04-15,2020-03-12
2,2,2,2020-04-15,2020-03-13
6,6,6,2020-04-15,2020-03-14
6,6,6,2020-04-15,2020-03-15
7,7,7,2020-04-15,2020-03-16
8,8,8,2020-04-15,2020-03-17
16,16,16,2020-04-15,2020-03-18
20,20,20,2020-04-15,2020-03-19
26,26,26,2020-04-15,2020-03-20
44,44,44,2020-04-15,2020-03-21
52,52,52,2020-04-15,2020-03-22
66,66,66,2020-04-15,2020-03-23
72,72,72,2020-04-15,2020-03-24
86,86,86,2020-04-15,2020-03-25
95,95,95,2020-04-15,2020-03-26
104,104,104,2020-04-15,2020-03-27
134,134,134,2020-04-15,2020-03-28
156,156,156,2020-04-15,2020-03-29
176,176,176,2020-04-15,2020-03-30
184,184,184,2020-04-15,2020-03-31
193,193,193,2020-04-15,2020-04-01
206,206,206,2020-04-15,2020-04-02
220,220,220,2020-04-15,2020-04-03
231,231,231,2020-04-15,2020-04-04
249,249,249,2020-04-15,2020-04-05
253,253,253,2020-04-15,2020-04-06
260,260,260,2020-04-15,2020-04-07
278,278,278,2020-04-15,2020-04-09
285,285,285,2020-04-15,2020-04-10
289,289,289,2020-04-15,2020-04-11
298,298,298,2020-04-15,2020-04-12
300,300,300,2020-04-15,2020-04-13
301,301,301,2020-04-15,2020-04-14
304,304,304,2020-04-15,2020-04-15
320,309,332,2020-04-15,2020-04-16
328,315,342,2020-04-15,2020-04-17
336,321,352,2020-04-15,2020-04-18
344,327,362,2020-04-15,2020-04-19
352,333,373,2020-04-15,2020-04-20
361,339,384,2020-04-15,2020-04-21
370,345,396,2020-04-15,2020-04-22
379,351,408,2020-04-15,2020-04-23
388,358,420,2020-04-15,2020-04-24
397,365,433,2020-04-15,2020-04-25
407,371,446,2020-04-15,2020-04-26
417,378,459,2020-04-15,2020-04-27
427,385,473,2020-04-15,2020-04-28
437,392,487,2020-04-15,2020-04-29
448,399,502,2020-04-15,2020-04-30
459,407,517,2020-04-15,2020-05-01
470,414,532,2020-04-15,2020-05-02
481,422,548,2020-04-15,2020-05-03
493,430,565,2020-04-15,2020-05-04
1,1,1,2020-04-16,2020-03-12
2,2,2,2020-04-16,2020-03-13
6,6,6,2020-04-16,2020-03-14
6,6,6,2020-04-16,2020-03-15
7,7,7,2020-04-16,2020-03-16
8,8,8,2020-04-16,2020-03-17
16,16,16,2020-04-16,2020-03-18
20,20,20,2020-04-16,2020-03-19
26,26,26,2020-04-16,2020-03-20
44,44,44,2020-04-16,2020-03-21
52,52,52,2020-04-16,2020-03-22
66,66,66,2020-04-16,2020-03-23
72,72,72,2020-04-16,2020-03-24
86,86,86,2020-04-16,2020-03-25
95,95,95,2020-04-16,2020-03-26
104,104,104,2020-04-16,2020-03-27
134,134,134,2020-04-16,2020-03-28
156,156,156,2020-04-16,2020-03-29
176,176,176,2020-04-16,2020-03-30
184,184,184,2020-04-16,2020-03-31
193,193,193,2020-04-16,2020-04-01
206,206,206,2020-04-16,2020-04-02
220,220,220,2020-04-16,2020-04-03
231,231,231,2020-04-16,2020-04-04
249,249,249,2020-04-16,2020-04-05
253,253,253,2020-04-16,2020-04-06
260,260,260,2020-04-16,2020-04-07
278,278,278,2020-04-16,2020-04-09
285,285,285,2020-04-16,2020-04-10
289,289,289,2020-04-16,2020-04-11
298,298,298,2020-04-16,2020-04-12
300,300,300,2020-04-16,2020-04-13
301,301,301,2020-04-16,2020-04-14
304,304,304,2020-04-16,2020-04-15
305,305,305,2020-04-16,2020-04-16
320,308,333,2020-04-16,2020-04-17
327,312,342,2020-04-16,2020-04-18
334,317,351,2020-04-16,2020-04-19
340,321,361,2020-04-16,2020-04-20
347,326,371,2020-04-16,2020-04-21
355,330,381,2020-04-16,2020-04-22
362,335,391,2020-04-16,2020-04-23
369,340,401,2020-04-16,2020-04-24
377,345,412,2020-04-16,2020-04-25
385,349,424,2020-04-16,2020-04-26
393,354,435,2020-04-16,2020-04-27
401,359,447,2020-04-16,2020-04-28
409,364,459,2020-04-16,2020-04-29
417,370,471,2020-04-16,2020-04-30
426,375,484,2020-04-16,2020-05-01
435,380,497,2020-04-16,2020-05-02
444,385,511,2020-04-16,2020-05-03
453,391,525,2020-04-16,2020-05-04
1,1,1,2020-04-17,2020-03-12
2,2,2,2020-04-17,2020-03-13
6,6,6,2020-04-17,2020-03-14
6,6,6,2020-04-17,2020-03-15
7,7,7,2020-04-17,2020-03-16
8,8,8,2020-04-17,2020-03-17
16,16,16,2020-04-17,2020-03-18
20,20,20,2020-04-17,2020-03-19
26,26,26,2020-04-17,2020-03-20
44,44,44,2020-04-17,2020-03-21
52,52,52,2020-04-17,2020-03-22
66,66,66,2020-04-17,2020-03-23
72,72,72,2020-04-17,2020-03-24
86,86,86,2020-04-17,2020-03-25
95,95,95,2020-04-17,2020-03-26
104,104,104,2020-04-17,2020-03-27
134,134,134,2020-04-17,2020-03-28
156,156,156,2020-04-17,2020-03-29
176,176,176,2020-04-17,2020-03-30
184,184,184,2020-04-17,2020-03-31
193,193,193,2020-04-17,2020-04-01
206,206,206,2020-04-17,2020-04-02
220,220,220,2020-04-17,2020-04-03
231,231,231,2020-04-17,2020-04-04
249,249,249,2020-04-17,2020-04-05
253,253,253,2020-04-17,2020-04-06
260,260,260,2020-04-17,2020-04-07
278,278,278,2020-04-17,2020-04-09
285,285,285,2020-04-17,2020-04-10
289,289,289,2020-04-17,2020-04-11
298,298,298,2020-04-17,2020-04-12
300,300,300,2020-04-17,2020-04-13
301,301,301,2020-04-17,2020-04-14
304,304,304,2020-04-17,2020-04-15
305,305,305,2020-04-17,2020-04-16
307,307,307,2020-04-17,2020-04-17
318,307,330,2020-04-17,2020-04-18
323,310,337,2020-04-17,2020-04-19
328,313,344,2020-04-17,2020-04-20
334,317,352,2020-04-17,2020-04-21
339,320,359,2020-04-17,2020-04-22
344,323,367,2020-04-17,2020-04-23
350,326,375,2020-04-17,2020-04-24
355,330,383,2020-04-17,2020-04-25
361,333,391,2020-04-17,2020-04-26
367,336,400,2020-04-17,2020-04-27
373,340,409,2020-04-17,2020-04-28
378,343,417,2020-04-17,2020-04-29
385,347,427,2020-04-17,2020-04-30
391,350,436,2020-04-17,2020-05-01
397,354,445,2020-04-17,2020-05-02
403,357,455,2020-04-17,2020-05-03
410,361,465,2020-04-17,2020-05-04
1,1,1,2020-04-18,2020-03-12
2,2,2,2020-04-18,2020-03-13
6,6,6,2020-04-18,2020-03-14
6,6,6,2020-04-18,2020-03-15
7,7,7,2020-04-18,2020-03-16
8,8,8,2020-04-18,2020-03-17
16,16,16,2020-04-18,2020-03-18
20,20,20,2020-04-18,2020-03-19
26,26,26,2020-04-18,2020-03-20
44,44,44,2020-04-18,2020-03-21
52,52,52,2020-04-18,2020-03-22
66,66,66,2020-04-18,2020-03-23
72,72,72,2020-04-18,2020-03-24
86,86,86,2020-04-18,2020-03-25
95,95,95,2020-04-18,2020-03-26
104,104,104,2020-04-18,2020-03-27
134,134,134,2020-04-18,2020-03-28
156,156,156,2020-04-18,2020-03-29
176,176,176,2020-04-18,2020-03-30
184,184,184,2020-04-18,2020-03-31
193,193,193,2020-04-18,2020-04-01
206,206,206,2020-04-18,2020-04-02
220,220,220,2020-04-18,2020-04-03
231,231,231,2020-04-18,2020-04-04
249,249,249,2020-04-18,2020-04-05
253,253,253,2020-04-18,2020-04-06
260,260,260,2020-04-18,2020-04-07
278,278,278,2020-04-18,2020-04-09
285,285,285,2020-04-18,2020-04-10
289,289,289,2020-04-18,2020-04-11
298,298,298,2020-04-18,2020-04-12
300,300,300,2020-04-18,2020-04-13
301,301,301,2020-04-18,2020-04-14
304,304,304,2020-04-18,2020-04-15
305,305,305,2020-04-18,2020-04-16
307,307,307,2020-04-18,2020-04-17
313,313,313,2020-04-18,2020-04-18
317,312,323,2020-04-18,2020-04-19
321,314,327,2020-04-18,2020-04-20
324,317,332,2020-04-18,2020-04-21
328,320,337,2020-04-18,2020-04-22
332,323,341,2020-04-18,2020-04-23
336,326,346,2020-04-18,2020-04-24
340,329,351,2020-04-18,2020-04-25
344,332,356,2020-04-18,2020-04-26
348,335,362,2020-04-18,2020-04-27
352,338,367,2020-04-18,2020-04-28
356,341,372,2020-04-18,2020-04-29
360,344,378,2020-04-18,2020-04-30
365,347,383,2020-04-18,2020-05-01
369,350,389,2020-04-18,2020-05-02
373,353,394,2020-04-18,2020-05-03
378,356,400,2020-04-18,2020-05-04
1,1,1,2020-04-19,2020-03-12
2,2,2,2020-04-19,2020-03-13
6,6,6,2020-04-19,2020-03-14
6,6,6,2020-04-19,2020-03-15
7,7,7,2020-04-19,2020-03-16
8,8,8,2020-04-19,2020-03-17
16,16,16,2020-04-19,2020-03-18
20,20,20,2020-04-19,2020-03-19
26,26,26,2020-04-19,2020-03-20
44,44,44,2020-04-19,2020-03-21
52,52,52,2020-04-19,2020-03-22
66,66,66,2020-04-19,2020-03-23
72,72,72,2020-04-19,2020-03-24
86,86,86,2020-04-19,2020-03-25
95,95,95,2020-04-19,2020-03-26
104,104,104,2020-04-19,2020-03-27
134,134,134,2020-04-19,2020-03-28
156,156,156,2020-04-19,2020-03-29
176,176,176,2020-04-19,2020-03-30
184,184,184,2020-04-19,2020-03-31
193,193,193,2020-04-19,2020-04-01
206,206,206,2020-04-19,2020-04-02
220,220,220,2020-04-19,2020-04-03
231,231,231,2020-04-19,2020-04-04
249,249,249,2020-04-19,2020-04-05
253,253,253,2020-04-19,2020-04-06
260,260,260,2020-04-19,2020-04-07
278,278,278,2020-04-19,2020-04-09
285,285,285,2020-04-19,2020-04-10
289,289,289,2020-04-19,2020-04-11
298,298,298,2020-04-19,2020-04-12
300,300,300,2020-04-19,2020-04-13
301,301,301,2020-04-19,2020-04-14
304,304,304,2020-04-19,2020-04-15
305,305,305,2020-04-19,2020-04-16
307,307,307,2020-04-19,2020-04-17
313,313,313,2020-04-19,2020-04-18
315,315,315,2020-04-19,2020-04-19
318,314,322,2020-04-19,2020-04-20
322,317,326,2020-04-19,2020-04-21
325,319,330,2020-04-19,2020-04-22
328,322,334,2020-04-19,2020-04-23
331,325,338,2020-04-19,2020-04-24
335,327,343,2020-04-19,2020-04-25
338,330,347,2020-04-19,2020-04-26
342,333,351,2020-04-19,2020-04-27
345,335,355,2020-04-19,2020-04-28
349,338,360,2020-04-19,2020-04-29
352,341,364,2020-04-19,2020-04-30
356,343,369,2020-04-19,2020-05-01
359,346,373,2020-04-19,2020-05-02
363,349,378,2020-04-19,2020-05-03
367,352,382,2020-04-19,2020-05-04
1,1,1,2020-04-20,2020-03-12
2,2,2,2020-04-20,2020-03-13
6,6,6,2020-04-20,2020-03-14
6,6,6,2020-04-20,2020-03-15
7,7,7,2020-04-20,2020-03-16
8,8,8,2020-04-20,2020-03-17
16,16,16,2020-04-20,2020-03-18
20,20,20,2020-04-20,2020-03-19
26,26,26,2020-04-20,2020-03-20
44,44,44,2020-04-20,2020-03-21
52,52,52,2020-04-20,2020-03-22
66,66,66,2020-04-20,2020-03-23
72,72,72,2020-04-20,2020-03-24
86,86,86,2020-04-20,2020-03-25
95,95,95,2020-04-20,2020-03-26
104,104,104,2020-04-20,2020-03-27
134,134,134,2020-04-20,2020-03-28
156,156,156,2020-04-20,2020-03-29
176,176,176,2020-04-20,2020-03-30
184,184,184,2020-04-20,2020-03-31
193,193,193,2020-04-20,2020-04-01
206,206,206,2020-04-20,2020-04-02
220,220,220,2020-04-20,2020-04-03
231,231,231,2020-04-20,2020-04-04
249,249,249,2020-04-20,2020-04-05
253,253,253,2020-04-20,2020-04-06
260,260,260,2020-04-20,2020-04-07
278,278,278,2020-04-20,2020-04-09
285,285,285,2020-04-20,2020-04-10
289,289,289,2020-04-20,2020-04-11
298,298,298,2020-04-20,2020-04-12
300,300,300,2020-04-20,2020-04-13
301,301,301,2020-04-20,2020-04-14
304,304,304,2020-04-20,2020-04-15
305,305,305,2020-04-20,2020-04-16
307,307,307,2020-04-20,2020-04-17
313,313,313,2020-04-20,2020-04-18
315,315,315,2020-04-20,2020-04-19
316,316,316,2020-04-20,2020-04-20
319,316,323,2020-04-20,2020-04-21
322,318,326,2020-04-20,2020-04-22
325,321,330,2020-04-20,2020-04-23
328,323,333,2020-04-20,2020-04-24
331,325,337,2020-04-20,2020-04-25
334,328,340,2020-04-20,2020-04-26
337,330,344,2020-04-20,2020-04-27
340,332,348,2020-04-20,2020-04-28
343,335,351,2020-04-20,2020-04-29
346,337,355,2020-04-20,2020-04-30
349,340,359,2020-04-20,2020-05-01
352,342,363,2020-04-20,2020-05-02
355,345,367,2020-04-20,2020-05-03
359,347,371,2020-04-20,2020-05-04
1,1,1,2020-04-21,2020-03-12
2,2,2,2020-04-21,2020-03-13
6,6,6,2020-04-21,2020-03-14
6,6,6,2020-04-21,2020-03-15
7,7,7,2020-04-21,2020-03-16
8,8,8,2020-04-21,2020-03-17
16,16,16,2020-04-21,2020-03-18
20,20,20,2020-04-21,2020-03-19
26,26,26,2020-04-21,2020-03-20
44,44,44,2020-04-21,2020-03-21
52,52,52,2020-04-21,2020-03-22
66,66,66,2020-04-21,2020-03-23
72,72,72,2020-04-21,2020-03-24
86,86,86,2020-04-21,2020-03-25
95,95,95,2020-04-21,2020-03-26
104,104,104,2020-04-21,2020-03-27
134,134,134,2020-04-21,2020-03-28
156,156,156,2020-04-21,2020-03-29
176,176,176,2020-04-21,2020-03-30
184,184,184,2020-04-21,2020-03-31
193,193,193,2020-04-21,2020-04-01
206,206,206,2020-04-21,2020-04-02
220,220,220,2020-04-21,2020-04-03
231,231,231,2020-04-21,2020-04-04
249,249,249,2020-04-21,2020-04-05
253,253,253,2020-04-21,2020-04-06
260,260,260,2020-04-21,2020-04-07
278,278,278,2020-04-21,2020-04-09
285,285,285,2020-04-21,2020-04-10
289,289,289,2020-04-21,2020-04-11
298,298,298,2020-04-21,2020-04-12
300,300,300,2020-04-21,2020-04-13
301,301,301,2020-04-21,2020-04-14
304,304,304,2020-04-21,2020-04-15
305,305,305,2020-04-21,2020-04-16
307,307,307,2020-04-21,2020-04-17
313,313,313,2020-04-21,2020-04-18
315,315,315,2020-04-21,2020-04-19
316,316,316,2020-04-21,2020-04-20
320,320,320,2020-04-21,2020-04-21
321,319,323,2020-04-21,2020-04-22
324,321,326,2020-04-21,2020-04-23
326,324,329,2020-04-21,2020-04-24
329,326,332,2020-04-21,2020-04-25
332,328,335,2020-04-21,2020-04-26
334,331,338,2020-04-21,2020-04-27
337,333,341,2020-04-21,2020-04-28
340,335,344,2020-04-21,2020-04-29
343,338,348,2020-04-21,2020-04-30
345,340,351,2020-04-21,2020-05-01
348,342,354,2020-04-21,2020-05-02
351,345,357,2020-04-21,2020-05-03
354,347,360,2020-04-21,2020-05-04
1,1,1,2020-04-22,2020-03-12
2,2,2,2020-04-22,2020-03-13
6,6,6,2020-04-22,2020-03-14
6,6,6,2020-04-22,2020-03-15
7,7,7,2020-04-22,2020-03-16
8,8,8,2020-04-22,2020-03-17
16,16,16,2020-04-22,2020-03-18
20,20,20,2020-04-22,2020-03-19
26,26,26,2020-04-22,2020-03-20
44,44,44,2020-04-22,2020-03-21
52,52,52,2020-04-22,2020-03-22
66,66,66,2020-04-22,2020-03-23
72,72,72,2020-04-22,2020-03-24
86,86,86,2020-04-22,2020-03-25
95,95,95,2020-04-22,2020-03-26
104,104,104,2020-04-22,2020-03-27
134,134,134,2020-04-22,2020-03-28
156,156,156,2020-04-22,2020-03-29
176,176,176,2020-04-22,2020-03-30
184,184,184,2020-04-22,2020-03-31
193,193,193,2020-04-22,2020-04-01
206,206,206,2020-04-22,2020-04-02
220,220,220,2020-04-22,2020-04-03
231,231,231,2020-04-22,2020-04-04
249,249,249,2020-04-22,2020-04-05
253,253,253,2020-04-22,2020-04-06
260,260,260,2020-04-22,2020-04-07
278,278,278,2020-04-22,2020-04-09
285,285,285,2020-04-22,2020-04-10
289,289,289,2020-04-22,2020-04-11
298,298,298,2020-04-22,2020-04-12
300,300,300,2020-04-22,2020-04-13
301,301,301,2020-04-22,2020-04-14
304,304,304,2020-04-22,2020-04-15
305,305,305,2020-04-22,2020-04-16
307,307,307,2020-04-22,2020-04-17
313,313,313,2020-04-22,2020-04-18
315,315,315,2020-04-22,2020-04-19
316,316,316,2020-04-22,2020-04-20
320,320,320,2020-04-22,2020-04-21
326,326,326,2020-04-22,2020-04-22
326,323,329,2020-04-22,2020-04-23
329,326,332,2020-04-22,2020-04-24
332,328,335,2020-04-22,2020-04-25
335,331,339,2020-04-22,2020-04-26
338,333,342,2020-04-22,2020-04-27
341,336,346,2020-04-22,2020-04-28
344,339,349,2020-04-22,2020-04-29
347,341,353,2020-04-22,2020-04-30
350,344,357,2020-04-22,2020-05-01
353,347,360,2020-04-22,2020-05-02
357,349,364,2020-04-22,2020-05-03
360,352,368,2020-04-22,2020-05-04
1,1,1,2020-04-23,2020-03-12
2,2,2,2020-04-23,2020-03-13
6,6,6,2020-04-23,2020-03-14
6,6,6,2020-04-23,2020-03-15
7,7,7,2020-04-23,2020-03-16
8,8,8,2020-04-23,2020-03-17
16,16,16,2020-04-23,2020-03-18
20,20,20,2020-04-23,2020-03-19
26,26,26,2020-04-23,2020-03-20
44,44,44,2020-04-23,2020-03-21
52,52,52,2020-04-23,2020-03-22
66,66,66,2020-04-23,2020-03-23
72,72,72,2020-04-23,2020-03-24
86,86,86,2020-04-23,2020-03-25
95,95,95,2020-04-23,2020-03-26
104,104,104,2020-04-23,2020-03-27
134,134,134,2020-04-23,2020-03-28
156,156,156,2020-04-23,2020-03-29
176,176,176,2020-04-23,2020-03-30
184,184,184,2020-04-23,2020-03-31
193,193,193,2020-04-23,2020-04-01
206,206,206,2020-04-23,2020-04-02
220,220,220,2020-04-23,2020-04-03
231,231,231,2020-04-23,2020-04-04
249,249,249,2020-04-23,2020-04-05
253,253,253,2020-04-23,2020-04-06
260,260,260,2020-04-23,2020-04-07
278,278,278,2020-04-23,2020-04-09
285,285,285,2020-04-23,2020-04-10
289,289,289,2020-04-23,2020-04-11
298,298,298,2020-04-23,2020-04-12
300,300,300,2020-04-23,2020-04-13
301,301,301,2020-04-23,2020-04-14
304,304,304,2020-04-23,2020-04-15
305,305,305,2020-04-23,2020-04-16
307,307,307,2020-04-23,2020-04-17
313,313,313,2020-04-23,2020-04-18
315,315,315,2020-04-23,2020-04-19
316,316,316,2020-04-23,2020-04-20
320,320,320,2020-04-23,2020-04-21
326,326,326,2020-04-23,2020-04-22
331,331,331,2020-04-23,2020-04-23
331,328,334,2020-04-23,2020-04-24
335,331,338,2020-04-23,2020-04-25
338,334,342,2020-04-23,2020-04-26
341,337,346,2020-04-23,2020-04-27
345,340,350,2020-04-23,2020-04-28
348,343,354,2020-04-23,2020-04-29
352,346,358,2020-04-23,2020-04-30
356,349,362,2020-04-23,2020-05-01
359,352,367,2020-04-23,2020-05-02
363,355,371,2020-04-23,2020-05-03
367,358,375,2020-04-23,2020-05-04
1,1,1,2020-04-24,2020-03-12
2,2,2,2020-04-24,2020-03-13
6,6,6,2020-04-24,2020-03-14
6,6,6,2020-04-24,2020-03-15
7,7,7,2020-04-24,2020-03-16
8,8,8,2020-04-24,2020-03-17
16,16,16,2020-04-24,2020-03-18
20,20,20,2020-04-24,2020-03-19
26,26,26,2020-04-24,2020-03-20
44,44,44,2020-04-24,2020-03-21
52,52,52,2020-04-24,2020-03-22
66,66,66,2020-04-24,2020-03-23
72,72,72,2020-04-24,2020-03-24
86,86,86,2020-04-24,2020-03-25
95,95,95,2020-04-24,2020-03-26
104,104,104,2020-04-24,2020-03-27
134,134,134,2020-04-24,2020-03-28
156,156,156,2020-04-24,2020-03-29
176,176,176,2020-04-24,2020-03-30
184,184,184,2020-04-24,2020-03-31
193,193,193,2020-04-24,2020-04-01
206,206,206,2020-04-24,2020-04-02
220,220,220,2020-04-24,2020-04-03
231,231,231,2020-04-24,2020-04-04
249,249,249,2020-04-24,2020-04-05
253,253,253,2020-04-24,2020-04-06
260,260,260,2020-04-24,2020-04-07
278,278,278,2020-04-24,2020-04-09
285,285,285,2020-04-24,2020-04-10
289,289,289,2020-04-24,2020-04-11
298,298,298,2020-04-24,2020-04-12
300,300,300,2020-04-24,2020-04-13
301,301,301,2020-04-24,2020-04-14
304,304,304,2020-04-24,2020-04-15
305,305,305,2020-04-24,2020-04-16
307,307,307,2020-04-24,2020-04-17
313,313,313,2020-04-24,2020-04-18
315,315,315,2020-04-24,2020-04-19
316,316,316,2020-04-24,2020-04-20
320,320,320,2020-04-24,2020-04-21
326,326,326,2020-04-24,2020-04-22
331,331,331,2020-04-24,2020-04-23
341,341,341,2020-04-24,2020-04-24
339,334,344,2020-04-24,2020-04-25
343,337,349,2020-04-24,2020-04-26
347,340,354,2020-04-24,2020-04-27
351,344,359,2020-04-24,2020-04-28
355,347,364,2020-04-24,2020-04-29
360,351,369,2020-04-24,2020-04-30
364,354,374,2020-04-24,2020-05-01
368,357,380,2020-04-24,2020-05-02
373,361,385,2020-04-24,2020-05-03
377,364,391,2020-04-24,2020-05-04
