Group	Total	Male	Female
Total	1033380	511555	521830
0 to 4 years	68760	35070	33690
5 to 9 years	63350	32480	30870
10 to 14 years	65750	33465	32285
15 to 19 years	71755	36870	34885
20 to 24 years	72610	37140	35470
25 to 29 years	70395	35510	34880
30 to 34 years	65340	32750	32585
35 to 39 years	61150	30270	30880
40 to 44 years	61470	30545	30920
45 to 49 years	74630	36815	37810
50 to 54 years	77475	38850	38625
55 to 59 years	70055	35185	34865
60 to 64 years	56940	28305	28645
65 to 69 years	41500	20445	21055
70 to 74 years	33825	16055	17770
75 to 79 years	28950	13200	15750
80 to 84 years	23960	10165	13790
85 to 89 years	15805	5800	10005
90 to 94 years	7250	2115	5135
95 to 99 years	2100	465	1635
100 years and over	320	55	260